Source,Target,signal
C2A,C3,a
C2A,C5,a
C2A,C3B,a
C2A,C2A,a
C2A,C4B,a
C3,C3B,a
C3,C2A,a
C3,C4B,a
C3,CFBb,a
C3,CFP,a
C4B,C3,a
C4B,C5,a
C4B,C3B,a
C4B,C2A,a
C4B,C4B,a
C4B,C4A,a
MASP2,C2,a
MASP2,C4B,a
MASP2,C4A,a
MASP2,MASP1,a
C2,C2A,a
C2,C4B,a
MASP1,C2,a
MASP1,C4B,a
MASP1,C4A,a
MASP1,MASP2,a
C1QB,C4B,a
C1QB,C4A,a
C1QB,C1QB,a
C1QB,C1QG,a
C1QB,C1QA,a
C1QB,C1R,a
C1QB,C1S,a
C1QB,C2,a
C4A,C4B,a
C1QG,C4B,a
C1QG,C4A,a
C1QG,C1QB,a
C1QG,C1QG,a
C1QG,C1QA,a
C1QG,C1R,a
C1QG,C1S,a
C1QG,C2,a
C1QA,C4B,a
C1QA,C4A,a
C1QA,C1QB,a
C1QA,C1QG,a
C1QA,C1QA,a
C1QA,C1R,a
C1QA,C1S,a
C1QA,C2,a
C1R,C4B,a
C1R,C4A,a
C1R,C2,a
C1R,C1QB,a
C1R,C1QG,a
C1R,C1QA,a
C1R,C1R,a
C1R,C1S,a
C1S,C4B,a
C1S,C4A,a
C1S,C2,a
C1S,C1QB,a
C1S,C1QG,a
C1S,C1QA,a
C1S,C1R,a
C1S,C1S,a
H2O,H2O,a
C3B,C5,a
C3B,C3,a
C3B,C2A,a
C3B,C4B,a
C3B,CFBb,a
C3B,CFP,a
C3B,C3B,a
C5,C8A,a
C5,C9,a
C5,C8B,a
C5,C6,a
C5,C7,a
C5,C5B,a
C5,C8G,a
C8A,C9,a
C8A,C8B,a
C8A,C6,a
C8A,C7,a
C8A,C5B,a
C8A,C8G,a
C9,C8A,a
C9,C8B,a
C9,C6,a
C9,C7,a
C9,C5B,a
C9,C8G,a
C8B,C8A,a
C8B,C9,a
C8B,C6,a
C8B,C7,a
C8B,C5B,a
C8B,C8G,a
C6,C8A,a
C6,C9,a
C6,C8B,a
C6,C7,a
C6,C5B,a
C6,C8G,a
C7,C8A,a
C7,C9,a
C7,C8B,a
C7,C6,a
C7,C5B,a
C7,C8G,a
C5B,C8A,a
C5B,C9,a
C5B,C8B,a
C5B,C6,a
C5B,C7,a
C5B,C8G,a
C8G,C8A,a
C8G,C9,a
C8G,C8B,a
C8G,C6,a
C8G,C7,a
C8G,C5B,a
CFBb,C3,a
CFBb,C5,a
CFBb,C3B,a
CFBb,CFP,a
CFP,C3,a
CFP,C5,a
CFP,C3B,a
CFP,CFBb,a
Hydrolysis,C3,a
CFB,C3B,a
CFB,CFBb,a
CFB,CFP,a
CFD,CFB,a
DAF,C3,i
